slot_idx,f,seed,arm,role,condition,layer,rows,n,exact,syndrome_ok,iterations,status,finite,symbol_errors,unsatisfied_checks,wall_s,rss_bytes,belief_max_prob,belief_mean_true_p,belief_mean_entropy,beliefs_conditioned,current_belief_label,belief_provenance,belief_shape_ok,transfer_eligible
93,1.2,2026091307,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,59,64,False,False,90,converged_no_syndrome,True,40,52,0.4002054309967207,133021696,0.7000878618458213,0.16152799517946848,4.040514928847289,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
94,1.2,2026091307,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,52,64,False,False,90,converged_no_syndrome,True,37,19,0.35255127999698743,133021696,0.9999270953977579,0.36835744728571856,2.7910440078362084,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
95,1.2,2026091307,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,52,64,False,False,90,converged_no_syndrome,True,35,23,0.35836814100912306,133021696,0.9999073158410101,0.3693366239691653,2.7412611152107185,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
96,1.2,2026091307,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,59,64,True,True,8,converged_exact,True,0,0,0.03610288200434297,133021696,1.0,0.9993662270375954,0.0041629025736043155,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
97,1.2,2026091308,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,59,64,False,False,90,converged_no_syndrome,True,47,49,0.4123915589880198,133021696,0.6118938553215941,0.11637269039626841,4.037344938086921,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
98,1.2,2026091308,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,52,64,False,False,90,converged_no_syndrome,True,42,28,0.35504172900982667,133021696,0.8990976252430032,0.18413674526197704,3.4999413387869867,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
99,1.2,2026091308,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,52,64,False,False,90,converged_no_syndrome,True,43,39,0.3577796989993658,133021696,0.6674798453096721,0.1462543473068993,3.99995281182968,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
100,1.2,2026091308,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,59,64,False,False,90,converged_no_syndrome,True,45,39,0.411702029989101,133021696,0.8411800165729224,0.1830624927474082,3.728262124511252,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
101,1.2,2026091309,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,59,64,True,True,80,converged_exact,True,0,0,0.36532464998890646,133021696,1.0,0.99363115902754,0.05253309170234605,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
102,1.2,2026091309,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,52,64,False,False,90,converged_no_syndrome,True,14,7,0.36499178799567744,133021696,1.0,0.7863448719379194,0.13456315147113804,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
103,1.2,2026091309,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,52,64,False,False,90,converged_no_syndrome,True,43,44,0.36895391199504957,133021696,0.7586680851987948,0.16002975856257948,4.042285120451335,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
104,1.2,2026091309,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,59,64,True,True,15,converged_exact,True,0,0,0.06923331299913116,133021696,1.0,0.971415625834411,0.1932514197487272,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
105,1.2,2026091310,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,59,64,False,False,90,converged_no_syndrome,True,5,3,0.4167149069980951,133021696,1.0,0.9218750000039733,0.09865174056981289,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
106,1.2,2026091310,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,52,64,False,False,90,converged_no_syndrome,True,5,1,0.37271141399105545,133021696,1.0,0.9344946116765149,0.2205052411377166,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
107,1.2,2026091310,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,52,64,False,False,90,converged_no_syndrome,True,46,38,0.3758650780073367,133021696,0.6455090071567156,0.13131953667200325,3.929072603342256,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
108,1.2,2026091310,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,59,64,False,False,90,converged_no_syndrome,True,28,28,0.408029942002031,133021696,0.9999999999134865,0.4593698208773116,2.3372042700992037,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
109,1.2,2026091311,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,59,64,False,False,90,converged_no_syndrome,True,28,18,0.40685949999897275,133021696,1.0,0.5634550721215181,1.0944657416492156,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
110,1.2,2026091311,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,52,64,False,False,90,converged_no_syndrome,True,11,7,0.3638112050102791,133021696,1.0,0.7820772198062347,0.9339806324755306,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
111,1.2,2026091311,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,52,64,False,False,90,converged_no_syndrome,True,43,48,0.3672398709895788,133021696,0.542535012052399,0.11873475690437595,4.170860576501358,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
112,1.2,2026091311,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,59,64,False,False,90,converged_no_syndrome,True,24,14,0.4038091130059911,133021696,1.0,0.5873243460430433,1.375598834206592,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
113,1.2,2026091312,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,59,64,False,False,90,converged_no_syndrome,True,47,42,0.40620923999813385,133021696,0.6690954732140392,0.12917287447361472,3.814435430184528,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
114,1.2,2026091312,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,52,64,False,False,90,converged_no_syndrome,True,44,35,0.3663350909919245,133021696,0.6152930007739881,0.1627002638691019,3.786023231191458,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
115,1.2,2026091312,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,52,64,False,False,90,converged_no_syndrome,True,42,33,0.35796602799382526,133021696,0.8709756317815592,0.2079712799490778,3.613903474075973,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
116,1.2,2026091312,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,59,64,True,True,31,converged_exact,True,0,0,0.14015389600535855,133021696,1.0,0.9564496056780962,0.21697089188271942,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
117,1.2,2026091313,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,59,64,False,False,90,converged_no_syndrome,True,36,38,0.4060874429997057,133021696,0.8401817632595447,0.23765391810338315,3.542558746286536,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
118,1.2,2026091313,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,52,64,False,False,90,converged_no_syndrome,True,36,25,0.3652900790038984,133021696,0.9999999747383854,0.30973764870749143,2.983888107094342,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
119,1.2,2026091313,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,52,64,False,False,90,converged_no_syndrome,True,39,28,0.3674807280040113,133021696,0.9999857252517607,0.3311238951434811,2.921791709974376,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
120,1.2,2026091313,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,59,64,True,True,7,converged_exact,True,0,0,0.031006677003460936,133021696,1.0,0.9992794067396276,0.007494160625739404,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
121,1.2,2026091314,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,59,64,False,False,90,converged_no_syndrome,True,45,57,0.41268575299181975,133021696,0.4103153189560679,0.11025201153205952,4.286572588218121,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
122,1.2,2026091314,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,52,64,False,False,90,converged_no_syndrome,True,46,48,0.3621255430043675,133021696,0.42383563341350944,0.09743518394838446,4.376192275640031,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
123,1.2,2026091314,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,52,64,False,False,90,converged_no_syndrome,True,49,41,0.36505497100006323,133021696,0.6089013829670149,0.0970718646036956,4.100320850529114,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
124,1.2,2026091314,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,59,64,False,False,90,converged_no_syndrome,True,47,57,0.41024388998630457,133021696,0.5217445415351282,0.08751092442740824,4.2777460327432655,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
125,1.2,2026091315,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,59,64,False,False,90,converged_no_syndrome,True,45,39,0.4020814269897528,133021696,0.8043457670338165,0.20141282949674633,3.585639989914875,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
126,1.2,2026091315,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,52,64,False,False,90,converged_no_syndrome,True,43,37,0.3594379209971521,133021696,0.8060215128172116,0.17610922706264454,3.8642167884526657,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
127,1.2,2026091315,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,52,64,False,False,90,converged_no_syndrome,True,47,51,0.35887316800653934,133021696,0.4437847374705603,0.09870699696729965,4.300644009513973,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
128,1.2,2026091315,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,59,64,False,False,90,converged_no_syndrome,True,42,38,0.4061058130027959,133021696,0.765056248961959,0.1996103199973343,3.7122270142894847,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
